feature,importance_mean,importance_std
avg_charge_per_tenure,0.1530995096435932,0.015229127200292642
Contract,0.09288362649338609,0.014775880742395284
tenure,0.06176271421289468,0.009908435295455263
InternetService,0.047914988742570816,0.006970014444460215
MonthlyCharges,0.043662497208252715,0.01113302219363084
TotalCharges,0.040745823439831165,0.009199376262483589
is_month_to_month,0.03273171580478096,0.01020094317033613
TechSupport,0.021220443727230608,0.008174825085546494
OnlineSecurity,0.02058819587492433,0.007188394552398282
has_fiber,0.019271130102783064,0.007668257042764717
OnlineBackup,0.013208869626327757,0.007368955917975551
SeniorCitizen,0.011385575596749442,0.003640539229178741
PaperlessBilling,0.008237907164992586,0.009572026771636878
gender,0.006422704348002106,0.006557919558327221
PaymentMethod,0.006168668331734284,0.012706986173829682
PhoneService,0.0029768178107840828,0.001302855664101536
has_tech_support,0.0027398356432904113,0.004653745264632835
Dependents,0.0015709007269941288,0.0074876498993820505
MultipleLines,0.0015469032947888262,0.005176931579247075
has_online_security,0.0005721878911069233,0.004707432753655834
StreamingTV,-0.004163833015735618,0.0072604598942058824
StreamingMovies,-0.005066826490875265,0.005967220077117896
Partner,-0.006016486205381366,0.006737023007639815
DeviceProtection,-0.00950674138851657,0.0035877055045274507
